time,sizex,sizey,sizez,filltype,fill,ndatapts,ttotal,tksearch,tfrsearch,tprocessing
2018-12-03T23:32:54.750661,0.005,0.01,0.005,full,1.0,250000,2.84316,0.0138059,0.00897837,2.81298
2018-12-03T23:32:58.734194,0.005,0.01,0.005,full,1.0,250000,3.04899,0.0164416,0.0104905,3.00952
2018-12-03T23:33:02.890560,0.005,0.01,0.005,full,1.0,250000,2.86906,0.0136733,0.00901349,2.83881
2018-12-03T23:33:06.329319,0.005,0.01,0.005,clusters2,0.110592,27648,17.0443,0.0425199,0.0330663,16.9605
2018-12-03T23:33:23.968568,0.005,0.01,0.005,clusters2,0.110592,27648,16.7685,0.0427039,0.0326254,16.6845
2018-12-03T23:33:41.319856,0.005,0.01,0.005,clusters2,0.110592,27648,17.1351,0.0426951,0.0334579,17.0507
2018-12-03T23:33:59.022521,0.005,0.01,0.005,clusters4,0.110592,27648,6.44068,0.0231541,0.0158816,6.39312
2018-12-03T23:34:06.031212,0.005,0.01,0.005,clusters4,0.110592,27648,6.42818,0.0224283,0.015481,6.38197
2018-12-03T23:34:13.025964,0.005,0.01,0.005,clusters4,0.110592,27648,6.38284,0.022033,0.0153367,6.33368
2018-12-03T23:34:19.960205,0.005,0.01,0.005,clusters6,0.110592,27648,3.51993,0.015831,0.0103883,3.48164
2018-12-03T23:34:24.044096,0.005,0.01,0.005,clusters6,0.110592,27648,3.51664,0.0163089,0.0105209,3.47761
2018-12-03T23:34:28.106083,0.005,0.01,0.005,clusters6,0.110592,27648,3.52769,0.0164022,0.0105355,3.49255
2018-12-03T23:34:32.507178,0.005,0.01,0.005,clusters5,0.512,128000,4.43046,0.017569,0.0117245,4.39346
2018-12-03T23:34:37.750489,0.005,0.01,0.005,clusters5,0.512,128000,4.37073,0.0172315,0.0115263,4.33193
2018-12-03T23:34:42.950733,0.005,0.01,0.005,clusters5,0.512,128000,4.42364,0.0174474,0.0115151,4.3867
2018-12-03T23:34:48.235557,0.005,0.01,0.005,clusters10,0.512,128000,3.34089,0.0160241,0.0102553,3.30738
2018-12-03T23:34:52.409801,0.005,0.01,0.005,clusters10,0.512,128000,3.44448,0.0170955,0.0105542,3.4051
2018-12-03T23:34:56.671404,0.005,0.01,0.005,clusters10,0.512,128000,3.35613,0.0159028,0.0104202,3.31979
2018-12-03T23:35:00.879774,0.005,0.01,0.005,clusters20,0.512,128000,3.11563,0.0161906,0.00996387,3.07594
2018-12-03T23:35:04.848496,0.005,0.01,0.005,clusters20,0.512,128000,3.03476,0.0152286,0.00980508,3.00224
2018-12-03T23:35:08.749703,0.005,0.01,0.005,clusters20,0.512,128000,3.03834,0.0155804,0.0098445,3.00557
2018-12-03T23:35:12.330518,0.005,0.01,0.005,corners,0.112632,28158,26.899,0.0572323,0.04728,26.7837
2018-12-03T23:35:39.779879,0.005,0.01,0.005,corners,0.112632,28158,26.7464,0.0582055,0.0477578,26.6322
2018-12-03T23:36:07.110355,0.005,0.01,0.005,corners,0.112632,28158,26.9187,0.0590658,0.048218,26.8031
2018-12-03T23:36:34.543003,0.005,0.01,0.005,corners,0.0288,7200,25.3873,0.057249,0.0473391,25.2746
2018-12-03T23:37:00.436415,0.005,0.01,0.005,corners,0.0288,7200,25.3405,0.056473,0.0471597,25.2246
2018-12-03T23:37:26.294430,0.005,0.01,0.005,corners,0.0288,7200,25.4252,0.0574368,0.0471417,25.3123
2018-12-03T23:39:09.360891,0.005,0.01,0.005,corners,0.148176,37044,24.6834,0.0561818,0.045337,24.5718
2018-12-03T23:39:34.629886,0.005,0.01,0.005,corners,0.148176,37044,25.797,0.0603342,0.047187,25.6816
2018-12-03T23:40:01.050719,0.005,0.01,0.005,corners,0.148176,37044,25.2373,0.0603178,0.0469764,25.1214
2018-12-03T23:41:16.976910,0.005,0.01,0.005,full,1.0,250000,3.68177,0.0219033,0.0129482,3.63956
2018-12-03T23:41:22.008404,0.005,0.01,0.005,full,1.0,250000,3.48029,0.0219764,0.0128725,3.43693
2018-12-03T23:41:26.569816,0.005,0.01,0.005,full,1.0,250000,2.89536,0.0138429,0.00913369,2.86486
2018-12-03T23:41:30.015287,0.005,0.01,0.005,clusters2,0.110592,27648,16.5685,0.0407506,0.0316626,16.4882
2018-12-03T23:41:47.153539,0.005,0.01,0.005,clusters2,0.110592,27648,16.6912,0.0420452,0.0326918,16.6065
2018-12-03T23:42:04.401879,0.005,0.01,0.005,clusters2,0.110592,27648,16.6088,0.0405093,0.0319441,16.5253
2018-12-03T23:42:21.578949,0.005,0.01,0.005,clusters4,0.110592,27648,6.46128,0.0227433,0.0157283,6.41491
2018-12-03T23:42:28.599997,0.005,0.01,0.005,clusters4,0.110592,27648,6.33968,0.0214106,0.0149183,6.29105
2018-12-03T23:42:35.507310,0.005,0.01,0.005,clusters4,0.110592,27648,6.4519,0.023098,0.0157904,6.40423
2018-12-03T23:42:42.548053,0.005,0.01,0.005,clusters6,0.110592,27648,3.51189,0.0159959,0.0103029,3.47798
2018-12-03T23:42:46.627618,0.005,0.01,0.005,clusters6,0.110592,27648,3.56043,0.0165683,0.0104832,3.52563
2018-12-03T23:42:50.741644,0.005,0.01,0.005,clusters6,0.110592,27648,3.69333,0.0166422,0.0112585,3.6575
2018-12-03T23:42:55.271837,0.005,0.01,0.005,clusters5,0.512,128000,4.36139,0.0172681,0.0115745,4.32341
2018-12-03T23:43:00.473467,0.005,0.01,0.005,clusters5,0.512,128000,4.39814,0.0175174,0.0117593,4.36128
2018-12-03T23:43:05.753035,0.005,0.01,0.005,clusters5,0.512,128000,4.36911,0.0176086,0.0116726,4.33054
2018-12-03T23:43:10.941032,0.005,0.01,0.005,clusters10,0.512,128000,3.3548,0.0162976,0.0103065,3.32066
2018-12-03T23:43:15.141392,0.005,0.01,0.005,clusters10,0.512,128000,3.3332,0.01624,0.0103998,3.29919
2018-12-03T23:43:19.309068,0.005,0.01,0.005,clusters10,0.512,128000,3.35664,0.0163047,0.0103354,3.32255
2018-12-03T23:43:23.523777,0.005,0.01,0.005,clusters20,0.512,128000,3.06774,0.0157216,0.0100704,3.0345
2018-12-03T23:43:27.472692,0.005,0.01,0.005,clusters20,0.512,128000,3.0942,0.0160194,0.0102345,3.05962
2018-12-03T23:43:31.414835,0.005,0.01,0.005,clusters20,0.512,128000,3.01274,0.0150203,0.00972292,2.9772
2018-12-03T23:43:34.980485,0.005,0.01,0.005,corners,0.112632,28158,26.7777,0.0577218,0.0475991,26.6615
2018-12-03T23:44:02.320369,0.005,0.01,0.005,corners,0.112632,28158,26.7798,0.0590151,0.0480275,26.6613
2018-12-03T23:44:29.671119,0.005,0.01,0.005,corners,0.112632,28158,26.7907,0.0587966,0.0477985,26.6762
2018-12-03T23:44:56.985969,0.005,0.01,0.005,corners,0.0288,7200,25.3942,0.0584356,0.0481271,25.2795
2018-12-03T23:45:22.892469,0.005,0.01,0.005,corners,0.0288,7200,25.3706,0.0569581,0.0469461,25.2581
2018-12-03T23:45:48.770368,0.005,0.01,0.005,corners,0.0288,7200,25.3464,0.0571211,0.0471976,25.2335
2018-12-03T23:46:14.699438,0.005,0.01,0.005,diagonal,0.117696,29424,18.6826,0.0450431,0.0351717,18.5915
2018-12-03T23:46:33.966892,0.005,0.01,0.005,diagonal,0.117696,29424,18.508,0.0442278,0.0348466,18.4184
2018-12-03T23:46:53.096119,0.005,0.01,0.005,diagonal,0.117696,29424,18.9887,0.0461669,0.0357288,18.8971
2018-12-03T23:47:12.690229,0.005,0.01,0.005,corners,0.148176,37044,24.6776,0.0551785,0.04476,24.5658
2018-12-03T23:47:37.954716,0.005,0.01,0.005,corners,0.148176,37044,25.3976,0.0595555,0.0462169,25.2832
2018-12-03T23:48:03.967871,0.005,0.01,0.005,corners,0.148176,37044,24.7833,0.054848,0.0448452,24.6756
2018-12-04T10:31:26.419561,0.005,0.01,0.005,full,1.0,250000,2.97362,0.0274571,0.0133308,2.92469
2018-12-04T10:31:30.727055,0.005,0.01,0.005,full,1.0,250000,3.62816,0.0302646,0.0151758,3.56535
2018-12-04T10:31:35.612252,0.005,0.01,0.005,full,1.0,250000,3.01188,0.0153436,0.00908758,2.98028
2018-12-04T10:31:39.148823,0.005,0.01,0.005,clusters2,0.110592,27648,18.2888,0.0585656,0.0361053,18.1867
2018-12-04T10:31:58.021197,0.005,0.01,0.005,clusters2,0.110592,27648,18.1,0.0536918,0.0356434,18.002
2018-12-04T10:32:16.645001,0.005,0.01,0.005,clusters2,0.110592,27648,16.1649,0.0427307,0.0301405,16.0848
2018-12-04T10:32:33.332460,0.005,0.01,0.005,clusters4,0.110592,27648,9.46441,0.0476418,0.0201417,9.38906
2018-12-04T10:32:45.099376,0.005,0.01,0.005,clusters4,0.110592,27648,9.75862,0.0539855,0.0314302,9.6022
2018-12-04T10:32:55.519749,0.005,0.01,0.005,clusters4,0.110592,27648,7.11105,0.0335547,0.019049,7.05109
2018-12-04T10:33:03.178076,0.005,0.01,0.005,clusters6,0.110592,27648,3.05356,0.0130411,0.00868368,3.02528
2018-12-04T10:33:06.700058,0.005,0.01,0.005,clusters6,0.110592,27648,4.07699,0.0214503,0.0120971,4.03639
2018-12-04T10:33:11.336495,0.005,0.01,0.005,clusters6,0.110592,27648,4.65364,0.0394282,0.0180484,4.58042
2018-12-04T10:33:16.871629,0.005,0.01,0.005,clusters5,0.512,128000,3.82458,0.0142659,0.00985378,3.79389
2018-12-04T10:33:21.540909,0.005,0.01,0.005,clusters5,0.512,128000,3.81141,0.0142927,0.00973561,3.78061
2018-12-04T10:33:26.201112,0.005,0.01,0.005,clusters5,0.512,128000,3.83372,0.0142078,0.00962738,3.80284
2018-12-04T10:33:30.851493,0.005,0.01,0.005,clusters10,0.512,128000,2.9105,0.0127929,0.00842449,2.88271
2018-12-04T10:33:34.555175,0.005,0.01,0.005,clusters10,0.512,128000,2.88021,0.0126744,0.00845662,2.85252
2018-12-04T10:33:38.387544,0.005,0.01,0.005,clusters10,0.512,128000,3.02081,0.0155597,0.00901938,2.98963
2018-12-04T10:33:42.214371,0.005,0.01,0.005,clusters20,0.512,128000,2.64685,0.0129403,0.00839471,2.61903
2018-12-04T10:33:45.708742,0.005,0.01,0.005,clusters20,0.512,128000,4.5083,0.0386959,0.0166858,4.44551
2018-12-04T10:33:51.349635,0.005,0.01,0.005,clusters20,0.512,128000,3.38342,0.0275255,0.0128901,3.33566
